127.0.0.1 - - [27/Dec/2024:14:19:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:19:15 +0530] "GET /gamingsite/ HTTP/1.1" 200 9353
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:19:15 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:19:15 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:19:16 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:20:06 +0530] "GET /gamingsite/games HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:20:06 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:20:16 +0530] "POST /gamingsite/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:20:16 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 9434
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:20:16 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:20:16 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:20:26 +0530] "GET /gamingsite/profile HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:45:17 +0530] "GET /gamingsite/ HTTP/1.1" 200 9353
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:45:17 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:45:17 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:45:19 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:45:25 +0530] "GET /gamingsite/games HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:45:25 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:45:35 +0530] "POST /gamingsite/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:45:35 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 9434
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:45:35 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:45:35 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:45:58 +0530] "GET /gamingsite/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:45:58 +0530] "GET /gamingsite/dashboard.jsp HTTP/1.1" 200 9353
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:45:58 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:45:58 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:46:02 +0530] "GET /gamingsite/games HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:46:02 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:46:12 +0530] "POST /gamingsite/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:46:12 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 9434
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:46:12 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:46:12 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:46:59 +0530] "GET /gamingsite/profile HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:48:09 +0530] "GET /gamingsite/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:48:09 +0530] "GET /gamingsite/dashboard.jsp HTTP/1.1" 200 9353
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:48:09 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:48:09 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:48:13 +0530] "GET /gamingsite/games HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:48:13 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:48:15 +0530] "GET /gamingsite/Registration.jsp HTTP/1.1" 200 6575
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:09 +0530] "POST /gamingsite/register HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:25 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:25 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:25 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:25 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:26 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:29 +0530] "GET /gamingsite/dashboard.jsp HTTP/1.1" 200 9353
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:29 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:29 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:31 +0530] "GET /gamingsite/dashboard.jsp HTTP/1.1" 200 9353
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:31 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:31 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:34 +0530] "GET /gamingsite/games HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:34 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:45 +0530] "POST /gamingsite/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:45 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 9434
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:45 +0530] "GET /gamingsite/image3.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:45 +0530] "GET /gamingsite/image2.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Dec/2024:14:49:51 +0530] "GET /gamingsite/profile HTTP/1.1" 200 3169
