127.0.0.1 - - [10/Jan/2025:12:07:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:07:52 +0530] "GET /gamingsite/ HTTP/1.1" 200 5049
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:07:52 +0530] "GET /gamingsite/CSS/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:07:52 +0530] "GET /gamingsite/CSS/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:07:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:08:23 +0530] "GET /gamingsite/games HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:08:23 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:08:31 +0530] "POST /gamingsite/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:08:31 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8439
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:08:31 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:08:31 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:08:31 +0530] "GET /gamingsite/game3-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:08:53 +0530] "GET /gamingsite/games HTTP/1.1" 200 12383
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:08:53 +0530] "GET /gamingsite/CSS/games.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:09:10 +0530] "POST /gamingsite/addtocart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:09:10 +0530] "GET /gamingsite/favourite.jsp HTTP/1.1" 200 8809
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:09:10 +0530] "GET /gamingsite/CSS/favourite.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:09:44 +0530] "GET /gamingsite/games HTTP/1.1" 200 12383
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:29:41 +0530] "GET /gamingsite/favourite.jsp HTTP/1.1" 200 8809
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:29:54 +0530] "POST /gamingsite/removefavorite HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:29:54 +0530] "GET /gamingsite/favourite.jsp HTTP/1.1" 200 7932
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:31:46 +0530] "GET /gamingsite/games HTTP/1.1" 200 12383
0:0:0:0:0:0:0:1 - - [10/Jan/2025:12:31:54 +0530] "GET /gamingsite/profile HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [10/Jan/2025:18:47:04 +0530] "GET /gamingsite/profile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:18:47:04 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:15:40 +0530] "GET /gamingsite/ HTTP/1.1" 200 5049
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:15:40 +0530] "GET /gamingsite/CSS/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:15:40 +0530] "GET /gamingsite/CSS/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:15:46 +0530] "GET /gamingsite/games HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:15:46 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:15:52 +0530] "POST /gamingsite/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:15:53 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:15:53 +0530] "GET /gamingsite/CSS/homepage.css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:15:53 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:20:15:53 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
