127.0.0.1 - - [16/Feb/2025:14:29:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Feb/2025:14:29:02 +0530] "GET /gamingsite/ HTTP/1.1" 200 5049
0:0:0:0:0:0:0:1 - - [16/Feb/2025:14:29:02 +0530] "GET /gamingsite/CSS/footer.css HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [16/Feb/2025:14:29:02 +0530] "GET /gamingsite/CSS/header.css HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [16/Feb/2025:14:29:06 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Feb/2025:14:29:10 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3213
0:0:0:0:0:0:0:1 - - [16/Feb/2025:14:29:17 +0530] "POST /gamingsite/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2025:14:29:17 +0530] "GET /gamingsite/Homepage HTTP/1.1" 200 10928
0:0:0:0:0:0:0:1 - - [16/Feb/2025:14:29:17 +0530] "GET /gamingsite/CSS/homepage.css HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [16/Feb/2025:14:29:29 +0530] "GET /gamingsite/games HTTP/1.1" 200 12309
0:0:0:0:0:0:0:1 - - [16/Feb/2025:14:29:29 +0530] "GET /gamingsite/CSS/games.css HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [16/Feb/2025:14:29:33 +0530] "GET /gamingsite/favourite.jsp HTTP/1.1" 200 6969
0:0:0:0:0:0:0:1 - - [16/Feb/2025:14:29:33 +0530] "GET /gamingsite/CSS/favourite.css HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [16/Feb/2025:14:29:37 +0530] "GET /gamingsite/gameDetails?game_id=20 HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [16/Feb/2025:14:29:37 +0530] "GET /gamingsite/CSS/gameDetails.css HTTP/1.1" 200 3338
